label,Depth CSF-A (m),Porosity (vol%),NGR total counts (cps),Reflectance L*,Reflectance a*,Reflectance b*
317-U1351A-001H-1-0.265,0.26,57.0,23.219,43.0,-2.5,10.1
342-U1409A-001H-1-0.26,0.26,79.9,20.35,53.4,1.5,1.9
342-U1409A-001H-1-0.26,0.26,79.9,20.35,53.4,1.5,1.9
342-U1408A-001H-1-0.37,0.37,64.1,23.01,47.9,3.2,6.1
342-U1407A-001H-1-0.38,0.38,54.9,24.46,51.3,4.7,8.4
342-U1404A-001H-1-0.38,0.38,73.6,23.47,47.2,6.6,13.0
342-U1403A-001H-1-0.38,0.38,72.5,22.93,44.5,6.5,22.7
342-U1402B-001H-1-0.38,0.38,60.8,43.69,31.1,0.5,7.9
342-U1406A-001H-1-0.38,0.38,70.1,15.24,61.0,5.9,11.0
342-U1405A-001H-1-0.46,0.46,73.4,16.37,53.7,8.2,11.4
342-U1405A-001H-1-0.46,0.46,73.4,16.37,53.7,8.2,11.4
194-1196A-001R-1-0.54,0.54,20.9,20.0,43.43,-1.02,6.76
359-U1467B-001H-1-0.56,0.56,70.5,6.072,37.8,0.7,5.9
359-U1471A-001H-1-0.6,0.6,71.6,5.808,32.2,1.9,5.6
359-U1470A-001H-1-0.69,0.69,68.5,7.644,38.4,2.7,1.1
359-U1465A-001H-1-0.69,0.69,65.3,9.151,51.9,4.6,9.4
194-1197A-001H-1-0.7,0.7,61.6,19.6,42.16,0.43,7.18
359-U1467A-001H-1-0.74,0.74,72.2,6.771,37.9,0.6,4.6
359-U1468A-001H-1-0.74,0.74,81.0,4.608,38.6,1.7,8.3
359-U1466A-001H-1-0.74,0.74,69.8,8.898,45.6,3.1,6.3
317-U1351B-001H-1-0.775,0.78,57.0,16.172454545454542,40.9,-1.6,6.6
194-1194A-001H-1-0.8,0.8,64.0,26.4,71.64,2.26,15.58
194-1192A-001H-1-0.8,0.8,58.9,21.6,64.9,6.77,29.16
194-1195A-001H-1-0.8,0.8,65.7,19.0,54.33,1.28,8.44
194-1195B-001H-1-0.8,0.8,67.4,16.4,55.79,2.23,13.47
194-1198A-001H-1-0.8,0.8,56.8,21.8,51.16,0.64,8.57
194-1199A-001R-1-0.81,0.81,22.0,18.8,74.45,0.79,7.08
194-1199A-001R-1-0.81,0.81,22.0,18.8,74.45,0.79,7.08
317-U1352B-001H-1-0.89,0.89,63.5,27.015,42.9,-0.1,1.8
342-U1402B-001H-1-1.13,1.13,64.2,52.26,32.0,4.7,16.0
342-U1402B-001H-1-1.13,1.13,64.2,52.26,32.0,4.7,16.0
342-U1411B-002H-1-0.38,1.28,67.1,22.0,54.4,2.6,3.0
342-U1411B-002H-1-0.38,1.28,67.1,22.0,54.4,2.6,3.0
317-U1352B-001H-1-1.29,1.29,54.1,29.712,47.3,-1.3,0.3
372-U1517C-001H-1-1.37,1.37,67.9,28.269,42.81,-0.07,2.43
317-U1354B-001H-1-1.45,1.45,59.5,30.921,50.4,-1.8,5.2
317-U1354B-001H-1-1.48,1.48,59.1,30.921,50.4,-1.8,5.2
342-U1409A-002H-1-0.38,1.48,76.4,21.07,51.7,5.7,5.5
342-U1410A-001H-1-1.48,1.48,68.6,20.28,52.0,1.2,1.4
342-U1404A-001H-2-0.26,1.76,73.8,24.34,44.1,6.5,15.8
317-U1352B-001H-2-0.34,1.84,42.8,61.816,45.8,-0.1,-3.3
317-U1352B-001H-2-0.34,1.84,42.8,61.816,45.8,-0.1,-3.3
342-U1408A-001H-2-0.37,1.87,76.1,19.77,59.3,6.6,4.9
342-U1407A-001H-2-0.38,1.88,70.7,21.6,48.6,8.7,13.3
342-U1403A-001H-2-0.38,1.88,69.5,22.5,46.4,6.0,13.0
342-U1403A-001H-2-0.38,1.88,69.5,22.5,46.4,6.0,13.0
342-U1410A-001H-2-0.38,1.88,71.3,18.98,57.4,2.2,-2.6
342-U1406A-001H-2-0.38,1.88,70.3,16.87,50.7,7.2,13.8
342-U1402B-001H-2-0.38,1.88,64.3,50.21,36.4,1.5,7.9
317-U1351A-001H-2-0.41,1.91,56.5,31.05,46.1,-2.3,6.5
359-U1465A-001H-2-0.57,1.96,73.6,2.676,46.3,2.2,6.3
194-1192B-001H-2-0.5,2.0,60.7,33.6,46.38,2.45,9.05
317-U1351B-001H-2-0.695,2.2,53.9,20.558000000000003,41.1,-1.7,3.9
342-U1405A-001H-2-0.7,2.2,66.1,23.04,53.3,4.9,9.6
317-U1353B-001H-2-0.71,2.21,55.8,33.408,42.9,-1.5,4.4
359-U1466A-001H-2-0.71,2.21,74.6,5.651,44.7,2.4,4.1
194-1198A-001H-2-0.8,2.3,63.6,22.8,58.21,-0.14,9.43
194-1197A-001H-2-0.8,2.3,63.9,19.8,56.86,2.11,13.78
194-1195B-001H-2-0.8,2.3,69.6,23.4,61.8,1.58,12.8
194-1195A-001H-2-0.8,2.3,66.7,26.4,61.51,1.66,11.76
194-1192A-001H-2-0.8,2.3,66.1,19.4,67.66,2.57,15.87
194-1193A-001H-2-0.8,2.3,62.9,29.6,61.6,1.89,12.94
194-1194A-001H-2-0.8,2.3,73.0,35.0,63.84,2.48,16.36
372-U1517C-001H-2-1.04,2.54,65.4,32.492,42.85,-0.5,1.97
317-U1352B-001H-2-1.09,2.59,51.4,49.966,52.2,-0.1,-1.2
342-U1402B-001H-2-1.12,2.62,65.8,51.82,36.4,-0.2,7.2
359-U1470A-002H-1-0.55,2.65,71.4,33.463,33.3,2.4,2.2
317-U1353A-001H-2-1.26,2.76,58.8,30.484,47.1,-1.9,5.7
342-U1411B-002H-2-0.38,2.78,61.0,29.89,48.0,3.2,3.0
342-U1411B-002H-2-0.38,2.78,61.0,29.89,48.0,3.2,3.0
317-U1351A-002H-1-0.085,2.78,56.8,21.421,44.1,-1.7,7.8
317-U1353A-001H-2-1.28,2.78,58.5,30.484,47.1,-1.9,5.7
359-U1468A-001H-3-0.33,2.81,78.6,8.017,41.3,1.9,4.8
359-U1467B-001H-3-0.43,2.83,72.5,16.615,41.3,1.0,8.4
342-U1404A-001H-3-0.2,2.91,70.1,28.46,46.4,5.4,11.1
372-U1517C-001H-2-1.42,2.92,51.7,36.112,39.65,0.3,0.17
359-U1467A-001H-3-0.27,2.97,68.8,10.991,42.8,0.6,6.5
342-U1409A-002H-2-0.38,2.98,78.3,21.49,53.7,3.9,1.4
317-U1351A-002H-1-0.355,3.06,57.5,32.276,42.3,-3.0,6.7
317-U1351A-002H-1-0.355,3.06,57.5,32.276,42.3,-3.0,6.7
317-U1354B-001H-3-0.13,3.13,51.2,35.299,45.5,-0.7,1.8
359-U1471A-001H-3-0.49,3.2,72.0,15.463,39.8,1.3,8.8
359-U1465A-001H-3-0.69,3.25,77.0,3.824,46.3,2.3,7.3
342-U1408A-001H-3-0.32,3.32,67.4,21.67,52.8,4.8,7.0
372-U1517C-001H-3-0.35,3.35,62.4,36.525,41.89,-0.13,1.88
342-U1407A-001H-3-0.38,3.38,67.4,15.29,59.5,5.4,11.8
342-U1405A-001H-3-0.38,3.38,68.5,22.71,51.8,7.7,11.6
342-U1406A-001H-3-0.38,3.38,80.6,8.95,70.1,4.1,14.5
342-U1403A-001H-3-0.43,3.43,72.0,31.33,16.0,,-10.5
359-U1466A-001H-3-0.49,3.5,72.8,6.44,40.0,1.7,6.5
342-U1410A-001H-3-0.6,3.6,68.2,22.28,49.4,9.8,7.4
194-1192A-001H-3-0.7,3.7,65.8,27.4,56.78,-0.08,10.43
317-U1351B-001H-3-0.745,3.74,49.1,35.719500000000004,46.8,-1.0,0.8
194-1195B-001H-3-0.8,3.8,64.0,19.0,65.31,2.53,16.52
194-1198A-001H-3-0.8,3.8,63.7,30.8,64.45,-0.04,11.38
194-1197A-001H-3-0.8,3.8,64.0,21.6,63.16,1.1,11.75
194-1195B-001H-3-0.8,3.8,64.0,19.0,65.31,2.53,16.52
194-1195A-001H-3-0.8,3.8,62.2,20.2,57.88,5.23,20.3
194-1194A-001H-3-0.8,3.8,63.7,40.6,59.93,2.3,16.96
194-1193A-001H-3-0.8,3.8,65.3,44.8,61.13,0.38,10.78
317-U1352B-001H-3-0.89,3.89,43.3,59.045,48.0,0.1,-2.6
317-U1354B-001H-3-0.98,3.98,45.6,40.398,35.4,-0.9,1.6
342-U1404A-001H-4-0.29,3.99,71.2,46.05,54.4,3.1,9.0
359-U1468A-002H-1-0.6,4.0,78.3,24.091,40.3,3.0,8.3
359-U1471A-001H-4-0.3,4.02,70.3,15.667,37.7,1.4,5.5
359-U1467A-002H-1-0.6,4.1,67.7,15.608,46.8,1.6,8.9
359-U1467B-002H-1-0.73,4.23,67.4,16.391,39.9,0.7,7.8
342-U1411B-002H-3-0.38,4.28,68.2,18.05,55.6,4.2,9.6
342-U1411B-002H-3-0.38,4.28,68.2,18.05,55.6,4.2,9.6
194-1195A-001H-4-0.3,4.3,72.4,16.4,62.43,2.58,13.44
372-U1517C-001H-3-1.35,4.35,58.6,37.803,39.14,0.84,0.92
359-U1466A-001H-4-0.39,4.41,76.1,6.927,42.9,2.3,5.9
342-U1409A-002H-3-0.38,4.48,78.2,14.54,57.6,2.2,0.3
359-U1465A-001H-4-0.66,4.63,76.2,3.731,45.2,2.9,4.7
194-1198A-001H-4-0.2,4.7,59.0,27.8,56.33,1.32,10.52
342-U1406A-001H-4-0.22,4.72,78.8,10.27,73.2,3.7,12.0
342-U1405A-001H-4-0.38,4.88,66.8,25.71,44.2,7.1,15.4
342-U1405A-001H-4-0.38,4.88,66.8,25.71,44.2,7.1,15.4
342-U1407A-001H-4-0.38,4.88,47.3,21.97,50.6,5.1,10.3
317-U1353A-001H-4-0.41,4.91,55.4,35.097,36.3,-1.8,4.9
317-U1351A-002H-2-0.745,4.94,43.8,53.452,41.6,-1.4,1.9
342-U1410A-001H-4-0.46,4.96,70.9,23.0,49.6,0.7,-0.5
359-U1471A-002H-1-0.52,5.12,73.2,13.53,36.1,1.6,5.9
359-U1471A-002H-1-0.52,5.12,73.2,13.53,36.1,1.6,5.9
372-U1517C-001H-4-0.68,5.18,50.7,43.66,38.89,0.93,-1.17
372-U1517C-001H-4-0.68,5.18,50.7,43.66,38.89,0.93,-1.17
317-U1352B-001H-4-0.69,5.19,42.6,58.738,43.4,-0.4,-2.5
317-U1351B-001H-4-0.695,5.2,48.7,37.9856,43.5,-1.4,0.1
317-U1354B-002H-1-1.14,5.24,48.0,47.45,44.7,-0.1,1.1
359-U1470A-002H-3-0.69,5.24,78.0,28.611,33.6,1.8,1.8
342-U1408A-002H-1-0.97,5.27,44.6,20.72,51.0,5.7,7.4
194-1192A-001H-4-0.8,5.3,63.1,26.6,55.5,-0.25,10.85
194-1197A-001H-4-0.8,5.3,67.5,13.4,60.34,2.24,16.47
194-1195B-001H-4-0.8,5.3,74.6,15.6,67.05,3.04,18.47
194-1193A-001H-4-0.8,5.3,63.4,59.6,58.7,-0.06,12.59
194-1195A-002H-1-0.8,5.5,69.6,16.2,64.25,3.59,20.16
194-1194A-002H-1-0.8,5.5,66.3,37.2,54.04,-0.33,10.62
342-U1406A-001H-5-0.15,5.65,79.4,12.99,61.7,3.3,8.9
342-U1406A-001H-5-0.15,5.65,79.4,12.99,61.7,3.3,8.9
342-U1404A-002H-1-1.0,5.7,71.1,24.33,54.9,5.9,16.4
342-U1404A-002H-1-1.0,5.7,71.1,24.33,54.9,5.9,16.4
359-U1466A-002H-1-0.75,5.75,78.8,3.131,50.7,3.3,6.8
342-U1411B-002H-4-0.38,5.78,75.5,21.46,48.4,3.8,2.2
194-1198A-002H-1-0.8,5.8,61.3,23.0,52.62,0.07,9.62
194-1198A-002H-1-0.8,5.8,61.3,23.0,52.62,0.07,9.62
359-U1465A-001H-5-0.44,5.83,76.4,3.659,46.5,3.1,6.9
317-U1353B-001H-4-1.45,5.95,60.0,31.271,43.9,-1.7,5.0
342-U1409A-002H-4-0.38,5.98,77.2,28.03,47.0,0.8,0.6
317-U1353B-001H-4-1.48,5.98,62.2,31.271,43.9,-1.7,5.0
342-U1403A-002H-1-0.38,6.18,69.0,29.39,40.4,5.8,20.0
342-U1408A-002H-2-0.38,6.18,71.3,19.42,50.1,6.1,6.4
342-U1407A-001H-5-0.2,6.2,70.3,17.59,51.4,8.2,11.7
194-1193A-001H-5-0.2,6.2,58.5,43.6,50.23,-0.19,10.09
342-U1402B-001H-5-0.23,6.23,61.7,53.67,31.3,-0.5,3.1
342-U1410A-001H-5-0.3,6.3,74.8,22.25,48.3,1.0,2.4
317-U1351A-002H-3-0.695,6.4,46.5,60.062,42.6,-1.5,0.9
342-U1404A-002H-2-0.27,6.47,74.1,23.24,55.7,5.1,12.7
342-U1405A-002H-1-0.38,6.58,68.0,39.14,49.5,6.6,14.2
342-U1406A-002H-1-0.38,6.58,81.1,10.04,66.7,5.4,12.5
359-U1465A-001H-6-0.3,6.6,66.6,6.144,46.6,3.5,10.1
342-U1402B-001H-5-0.63,6.63,62.0,55.03,32.0,-0.3,2.7
359-U1468A-002H-3-0.7,6.7,79.8,25.864,45.0,2.9,6.8
359-U1468A-002H-3-0.7,6.7,79.8,25.864,45.0,2.9,6.8
317-U1351B-001H-5-0.745,6.74,47.4,37.858,38.3,-0.9,0.1
194-1192A-001H-5-0.8,6.8,66.8,24.0,55.4,-0.28,9.09
194-1195B-001H-5-0.8,6.8,67.9,32.8,59.04,0.44,10.3
317-U1352B-001H-5-0.89,6.89,46.0,57.018,46.1,-0.8,-1.5
194-1197A-002H-1-0.8,6.9,66.7,15.8,71.36,0.49,10.75
194-1194A-002H-2-0.8,7.0,67.0,30.4,48.13,-0.54,10.46
194-1195A-002H-2-0.8,7.0,61.1,33.8,56.03,0.33,9.52
372-U1517C-002H-1-1.35,7.05,47.6,40.512,39.47,0.94,-0.86
342-U1402B-002H-1-0.08,7.08,59.6,39.37,31.8,-1.4,0.8
342-U1407A-002H-1-0.35,7.15,63.0,24.05,48.4,3.8,4.8
317-U1351B-001H-6-0.195,7.2,48.9,33.2796,36.6,0.1,-1.0
317-U1353B-001H-6-0.22,7.22,53.8,36.226,40.9,-1.6,3.2
359-U1467B-002H-3-0.73,7.23,68.0,20.954,45.9,1.0,8.9
359-U1467A-002H-3-0.75,7.25,66.9,23.224,44.0,1.1,9.3
342-U1411B-002H-5-0.36,7.26,71.9,21.73,54.4,5.4,6.9
359-U1466A-002H-2-0.77,7.28,69.6,5.951,48.9,3.5,9.0
194-1198A-002H-2-0.8,7.3,58.7,44.4,55.0,-0.42,7.32
194-1193A-002H-1-0.7,7.3,59.3,25.4,53.21,-1.78,9.44
342-U1404A-002H-3-0.27,7.42,75.8,20.64,51.5,5.7,15.0
342-U1409A-002H-5-0.38,7.48,70.2,26.13,52.3,0.8,-0.7
342-U1403A-002H-2-0.26,7.56,68.4,29.45,38.6,7.2,26.2
342-U1408A-002H-3-0.38,7.68,70.2,21.3,46.6,6.0,10.8
342-U1410A-001H-6-0.2,7.7,68.0,12.24,52.2,0.8,1.8
194-1195B-001H-6-0.2,7.7,64.3,31.8,60.27,-0.18,9.42
317-U1352B-001H-6-0.41,7.81,48.0,54.075,45.3,-0.6,-2.1
359-U1465A-002H-1-0.74,7.84,59.5,10.467,51.8,4.9,7.6
359-U1470A-002H-5-0.69,8.05,70.0,80.548,48.1,3.1,5.0
342-U1406A-002H-2-0.38,8.08,82.5,10.58,71.8,3.5,11.7
342-U1406A-002H-2-0.38,8.08,82.5,10.58,71.8,3.5,11.7
342-U1405A-002H-2-0.38,8.08,70.5,23.85,53.5,5.3,15.4
317-U1351B-002H-1-0.315,8.12,51.2,52.276,45.6,-0.4,-0.1
317-U1353A-002H-2-1.16,8.16,53.7,36.655,44.9,-2.2,5.6
317-U1353A-002H-2-1.18,8.18,51.9,36.655,44.9,-2.2,5.6
194-1192A-001H-6-0.8,8.3,65.6,25.2,52.07,0.2,10.2
194-1192A-001H-6-0.8,8.3,65.6,25.2,52.07,0.2,10.2
359-U1471A-002H-3-0.77,8.37,70.6,21.718,43.4,1.0,9.4
194-1197A-002H-2-0.8,8.4,60.8,19.6,63.55,1.78,11.46
194-1194A-002H-3-0.8,8.5,61.5,27.2,53.48,-0.81,10.03
194-1195A-002H-3-0.8,8.5,65.2,27.2,63.73,0.32,9.87
372-U1517C-002H-2-1.35,8.55,45.9,42.661,38.68,1.1,-0.1
342-U1411B-002H-6-0.31,8.71,68.8,19.51,50.3,5.1,3.7
342-U1407A-002H-2-0.42,8.72,73.4,46.58,39.4,4.3,11.4
342-U1407A-002H-2-0.42,8.72,73.4,46.58,39.4,4.3,11.4
359-U1466A-002H-3-0.77,8.78,74.4,4.854,50.1,3.3,8.4
194-1198A-002H-3-0.8,8.8,62.3,25.6,65.26,-0.81,9.86
317-U1353B-002H-1-0.83,8.83,39.2,42.911,41.1,-0.5,-0.1
342-U1410A-002H-1-0.39,8.89,45.9,23.91,50.1,1.4,-0.3
194-1193A-002H-2-0.8,8.9,64.6,26.6,53.1,-0.76,10.0
342-U1409A-002H-6-0.38,8.98,70.9,17.94,49.1,3.9,3.7
317-U1352B-002H-1-0.79,8.99,52.4,51.412,44.3,0.5,-3.5
317-U1352B-002H-1-0.79,8.99,52.4,51.412,44.3,0.5,-3.5
317-U1353A-002H-3-0.51,9.01,42.9,38.888,40.3,-1.8,3.6
342-U1404A-002H-4-0.38,9.03,73.2,22.79,53.6,5.4,14.6
342-U1402B-002H-3-0.38,9.12,60.6,52.47,22.3,-0.2,6.0
342-U1403A-002H-3-0.38,9.18,71.6,27.8,38.4,7.2,25.9
342-U1408A-002H-4-0.38,9.18,60.8,19.72,52.9,5.3,5.4
194-1195B-002H-1-0.8,9.2,76.5,24.0,62.25,0.63,13.27
194-1192A-001H-7-0.2,9.2,65.1,22.0,61.9,0.08,10.24
194-1195B-002H-1-0.8,9.2,76.5,24.0,62.25,0.63,13.27
194-1192A-001H-7-0.2,9.2,65.1,22.0,61.9,0.08,10.24
359-U1465A-002H-2-0.74,9.34,68.2,8.641,55.1,4.2,7.9
342-U1405A-002H-3-0.38,9.58,68.0,27.12,52.7,4.8,12.7
342-U1406A-002H-3-0.38,9.58,79.8,10.48,66.7,4.0,14.3
342-U1402B-002H-3-0.9,9.64,62.7,50.26,32.5,-0.2,2.3
317-U1354B-002H-4-1.27,9.87,43.9,36.169,45.0,-1.3,3.0
317-U1354B-002H-4-1.3,9.9,43.1,30.631,45.0,-1.3,3.0
194-1197A-002H-3-0.8,9.9,52.3,18.2,63.47,0.8,13.37
194-1194A-002H-4-0.8,10.0,62.2,24.4,50.32,-0.54,11.84
372-U1517C-002H-3-1.3,10.0,45.7,42.614,40.06,1.08,-1.93
372-U1517C-002H-3-1.3,10.0,45.7,42.614,40.06,1.08,-1.93
194-1195A-002H-4-0.8,10.0,72.1,32.8,61.57,0.63,13.03
194-1195A-002H-4-0.8,10.0,72.1,32.8,61.57,0.63,13.03
342-U1407A-002H-3-0.23,10.03,68.3,26.81,53.6,5.8,14.6
317-U1351B-002H-2-0.765,10.07,51.3,57.485,48.0,-0.8,0.8
342-U1411B-002H-7-0.2,10.1,57.3,30.63,45.6,4.7,7.6
342-U1409A-002H-7-0.13,10.13,79.4,21.57,50.7,-0.1,-0.6
194-1192A-002H-1-0.7,10.2,70.5,26.4,64.28,0.37,12.51
359-U1467A-002H-5-0.75,10.25,67.7,20.534,42.9,1.1,9.7
359-U1466A-002H-4-0.74,10.25,78.4,5.108,43.5,3.2,6.6
194-1198A-002H-4-0.8,10.3,57.8,31.8,61.98,0.3,9.72
342-U1410A-002H-2-0.38,10.38,66.5,17.84,49.3,0.7,0.6
194-1193A-002H-3-0.8,10.4,57.4,28.8,46.12,-0.82,10.06
317-U1352B-002H-2-0.79,10.49,48.1,56.212,49.3,-0.3,-2.4
342-U1404A-002H-5-0.38,10.53,74.6,25.12,56.1,5.1,9.5
342-U1402B-002H-4-0.38,10.56,60.5,53.01,24.6,-1.1,3.3
342-U1408A-002H-5-0.28,10.58,63.5,39.89,48.9,4.4,8.3
342-U1403A-002H-4-0.38,10.68,69.8,28.35,43.5,7.1,26.1
342-U1403A-002H-4-0.38,10.68,69.8,28.35,43.5,7.1,26.1
194-1195B-002H-2-0.8,10.7,66.7,30.2,56.42,0.6,13.62
342-U1411B-003H-1-0.38,10.78,52.6,26.0,52.2,3.3,3.1
342-U1411B-003H-1-0.38,10.78,52.6,26.0,52.2,3.3,3.1
359-U1465A-002H-3-0.74,10.84,67.7,6.944,49.5,3.5,3.9
317-U1353B-002H-2-1.44,10.94,48.9,40.395,,-0.9,2.3
317-U1353B-002H-2-1.48,10.98,47.1,40.395,39.4,-1.2,3.5
342-U1409A-003H-1-0.38,10.98,58.0,30.34,43.5,0.0,1.2
317-U1354B-002H-5-1.13,11.05,40.1,26.776,42.7,-0.3,0.2
342-U1406A-002H-4-0.38,11.08,79.7,9.98,72.8,4.2,11.6
342-U1405A-002H-4-0.38,11.08,70.9,25.88,50.6,4.1,10.8
342-U1406A-002H-4-0.38,11.08,79.7,9.98,72.8,4.2,11.6
342-U1407A-002H-4-0.16,11.26,68.6,27.86,59.5,5.4,13.0
342-U1402B-002H-4-1.13,11.31,61.8,53.2,26.2,0.6,7.6
359-U1471A-002H-5-0.79,11.39,71.2,19.581,44.4,1.2,10.4
194-1197A-002H-4-0.8,11.4,65.1,19.4,67.73,0.92,12.27
194-1194A-002H-5-0.8,11.5,60.4,21.6,50.86,-0.94,10.27
194-1195A-002H-5-0.8,11.5,64.5,37.8,52.78,1.01,11.86
359-U1467B-002H-6-0.51,11.51,68.9,16.119,42.4,1.1,6.3
317-U1353A-003H-2-0.71,11.51,49.2,43.555,36.5,-0.9,2.7
372-U1517C-002H-4-1.32,11.52,44.7,45.125,39.47,1.21,-0.59
359-U1466A-002H-5-0.75,11.76,73.1,10.778,45.7,3.3,5.0
194-1198A-002H-5-0.8,11.8,61.1,24.6,64.79,-0.45,10.98
194-1192A-002H-2-0.8,11.8,66.4,27.4,55.83,0.65,12.65
342-U1407A-002H-5-0.18,11.85,70.7,26.53,63.3,5.7,15.4
342-U1410A-002H-3-0.38,11.88,65.6,20.58,52.05,1.25,-0.35
194-1193A-002H-4-0.8,11.9,64.5,31.6,53.44,-0.92,11.76
194-1193A-002H-4-0.8,11.9,64.5,31.6,53.44,-0.92,11.76
342-U1404A-002H-6-0.27,11.92,78.4,20.56,52.3,4.8,17.1
342-U1402B-002H-5-0.38,11.95,58.2,45.12,21.6,-0.4,15.6
342-U1402B-002H-5-0.38,11.95,58.2,45.12,21.6,-0.4,15.6
342-U1408A-002H-6-0.15,11.95,65.0,27.83,57.1,4.8,10.3
317-U1352B-002H-3-0.79,11.99,39.1,60.418,48.6,-0.2,-3.2
342-U1403A-002H-5-0.38,12.18,69.1,29.51,55.2,5.9,16.9
194-1195B-002H-3-0.8,12.2,68.0,34.2,59.32,0.17,12.41
317-U1351B-002H-3-1.4,12.2,46.3,47.262,44.9,-1.1,2.3
342-U1411B-003H-2-0.38,12.28,51.4,28.75,45.8,2.3,4.6
359-U1470A-003H-1-0.69,12.29,68.0,29.384,34.9,1.3,6.7
317-U1351A-003H-1-0.13,12.33,48.4,44.12,40.7,-1.1,2.4
359-U1465A-002H-4-0.74,12.34,72.7,9.934,49.3,3.2,4.5
342-U1409A-003H-2-0.38,12.48,66.0,25.52,53.7,3.0,2.3
342-U1405A-002H-5-0.38,12.58,71.5,27.71,47.2,5.4,17.2
342-U1405A-002H-5-0.38,12.58,71.5,27.71,47.2,5.4,17.2
342-U1406A-002H-5-0.38,12.58,79.1,10.94,71.4,4.0,11.8
342-U1402B-002H-5-1.13,12.7,57.3,58.68,21.9,-2.0,9.9
194-1197A-002H-5-0.8,12.9,51.6,18.0,64.7,1.24,15.29
342-U1408A-002H-7-0.18,12.99,80.4,20.46,58.5,1.6,11.5
194-1194A-002H-6-0.8,13.0,61.5,25.8,51.56,-0.91,11.71
194-1195A-002H-6-0.8,13.0,69.1,29.0,58.76,0.42,11.85
342-U1404A-002H-7-0.27,13.01,76.5,26.73,43.8,2.7,12.1
372-U1517C-002H-5-1.36,13.06,44.3,48.247,39.61,1.17,-3.21
359-U1466A-002H-6-0.55,13.07,78.3,15.986,48.2,3.3,7.3
317-U1352B-002H-4-0.44,13.14,44.5,55.72,46.2,-0.2,-3.6
317-U1351B-002H-4-0.995,13.3,47.9,52.685,40.1,-0.6,2.3
194-1198A-002H-6-0.8,13.3,61.9,24.8,64.44,-0.55,10.74
194-1192A-002H-3-0.8,13.3,60.9,23.0,56.41,0.05,11.42
194-1198A-002H-6-0.8,13.3,61.9,24.8,64.44,-0.55,10.74
342-U1410A-002H-4-0.38,13.38,67.4,19.77,43.2,-0.1,0.9
342-U1410A-002H-4-0.38,13.38,67.4,19.77,43.2,-0.1,0.9
194-1193A-002H-5-0.8,13.4,53.6,26.8,52.4,-0.44,9.69
342-U1407A-002H-6-0.23,13.4,68.0,25.56,60.35,4.9,11.7
359-U1468A-003H-1-0.64,13.54,57.9,24.621,51.6,2.0,8.3
317-U1354B-004H-1-1.45,13.55,46.2,62.61,46.9,-0.8,1.5
317-U1354B-004H-1-1.48,13.58,45.3,62.61,49.7,-1.4,2.5
342-U1403A-002H-6-0.38,13.68,71.6,29.7,42.6,7.1,27.7
194-1195B-002H-4-0.8,13.7,69.5,21.8,61.06,0.4,12.74
359-U1467B-003H-1-0.73,13.73,75.1,21.544,39.5,1.3,8.8
359-U1467A-003H-1-0.74,13.74,68.8,18.791,43.2,0.8,9.7
342-U1411B-003H-3-0.38,13.78,55.6,32.0,52.0,1.7,0.0
359-U1465A-002H-5-0.74,13.84,67.3,19.704,49.0,4.1,6.3
317-U1352B-002H-4-1.17,13.87,41.3,55.9,45.8,0.7,-3.1
194-1195A-002H-7-0.2,13.9,53.0,25.2,60.65,0.43,10.77
194-1194A-002H-7-0.2,13.9,63.1,23.6,53.61,-0.78,12.48
342-U1405A-002H-6-0.27,13.97,69.8,26.2,53.7,3.9,9.5
342-U1409A-003H-3-0.38,13.98,63.7,23.31,53.5,2.0,2.3
317-U1353B-002H-5-0.21,13.98,44.3,31.959,36.6,0.4,-1.3
342-U1406A-002H-6-0.38,14.08,80.0,9.64,68.7,4.3,14.0
194-1192A-002H-4-0.1,14.1,67.2,30.0,55.82,0.14,11.73
342-U1408A-003H-1-0.38,14.18,79.3,19.33,53.4,4.4,22.0
194-1198A-002H-7-0.2,14.2,66.6,23.4,68.81,-0.5,9.92
317-U1352B-002H-5-0.07,14.27,39.2,52.168,53.3,-0.3,-2.4
372-U1517C-002H-6-1.16,14.36,44.0,46.651,38.88,1.14,-0.99
194-1197A-002H-6-0.8,14.4,65.4,21.8,62.15,0.99,10.91
194-1197A-002H-6-0.8,14.4,65.4,21.8,62.15,0.99,10.91
317-U1351A-003H-2-0.745,14.44,47.2,84.946,41.2,-0.8,2.3
317-U1351B-002H-5-0.995,14.8,46.0,40.238,43.7,-0.9,2.2
317-U1351B-002H-5-0.995,14.8,46.0,40.238,43.7,-0.9,2.2
359-U1471A-003H-1-0.74,14.84,71.7,24.188,44.0,1.4,7.4
